City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yaan,NG,7.3833,8.5667,87.94,16,37,4.0,scattered clouds
80,Katsuura,JP,35.1333,140.3,66.0,88,20,3.44,few clouds
81,Arbazh,RU,57.6804,48.3065,16.66,97,11,2.89,few clouds
82,Dingle,PH,10.9995,122.6711,81.3,78,100,8.57,overcast clouds
83,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,16,5.75,few clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,90,12.66,snow
85,Airai,TL,-8.9266,125.4092,61.12,98,100,2.48,heavy intensity rain
86,Nemuro,JP,43.3236,145.575,46.4,100,75,6.91,moderate rain
87,Avarua,CK,-21.2078,-159.775,82.4,83,75,16.11,broken clouds
88,Videira,BR,-27.0083,-51.1517,64.35,99,37,1.25,scattered clouds
89,Lucapa,AO,-8.4192,20.7447,64.47,99,100,2.37,moderate rain
90,Vila Velha,BR,-20.3297,-40.2925,75.99,88,0,3.44,clear sky
91,Klaksvik,FO,62.2266,-6.589,41.0,87,20,12.66,few clouds
92,Chokurdakh,RU,70.6333,147.9167,-2.9,96,98,5.21,overcast clouds
93,Burgeo,CA,47.6167,-57.6152,19.33,80,61,8.79,broken clouds
94,Camopi,GF,3.1655,-52.3158,72.27,99,98,2.57,overcast clouds
95,Saskylakh,RU,71.9167,114.0833,-1.62,97,99,3.4,overcast clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,66.0,88,40,11.5,scattered clouds
97,Leningradskiy,RU,69.3833,178.4167,-3.35,91,100,5.59,overcast clouds
98,Severo-Kurilsk,RU,50.6789,156.125,30.27,71,6,7.31,clear sky
99,Georgetown,MY,5.4112,100.3354,80.01,94,20,5.35,light rain
100,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,46,66,17.9,broken clouds
101,Fortuna,US,40.5982,-124.1573,52.0,87,75,16.11,broken clouds
102,Esperance,AU,-33.8667,121.9,68.0,68,0,13.8,clear sky
103,Tambopata,PE,-12.7333,-69.1833,69.98,99,100,1.01,overcast clouds
104,Clyde River,CA,70.4692,-68.5914,-5.8,84,40,4.61,scattered clouds
105,Kamenskiy,RU,50.8855,45.488,28.04,95,96,9.84,overcast clouds
106,Tual,ID,-5.6667,132.75,81.32,82,100,11.34,overcast clouds
107,Komsomolskiy,UZ,40.4272,71.7189,50.0,62,75,18.41,moderate rain
108,Sherpur,BD,25.0188,90.0175,70.5,55,0,7.23,clear sky
109,Cherskiy,RU,68.75,161.3,-0.2,83,99,4.05,overcast clouds
110,Nyanguge,TZ,-2.55,33.2,67.8,78,43,6.26,light rain
111,Kupang,ID,-10.1667,123.5833,77.0,100,90,6.91,overcast clouds
112,Dunedin,NZ,-45.8742,170.5036,61.0,92,29,4.0,scattered clouds
113,Cabo San Lucas,MX,22.8909,-109.9124,77.0,29,40,17.27,scattered clouds
114,Hami,CN,42.8,93.45,57.11,27,87,9.69,overcast clouds
115,Samarai,PG,-10.6167,150.6667,84.07,74,87,11.3,overcast clouds
116,Alofi,NU,-19.0595,-169.9187,82.4,78,6,18.41,light rain
117,Camas,ES,37.402,-6.0331,62.01,63,0,4.61,clear sky
118,Paamiut,GL,61.994,-49.6678,6.8,79,1,9.69,clear sky
119,Aksu,CN,41.1231,80.2644,53.26,44,86,2.55,overcast clouds
120,Zhangjiakou,CN,40.81,114.8794,39.38,22,94,4.88,overcast clouds
121,Kumano,JP,34.3442,132.5894,60.01,72,75,4.61,sand
122,Bethel,US,41.3712,-73.414,57.99,98,100,15.77,overcast clouds
123,Inhambane,MZ,-23.865,35.3833,71.55,81,3,12.08,light rain
124,Namibe,AO,-15.1961,12.1522,73.6,76,37,3.2,light rain
125,Tura,IN,25.5198,90.2201,71.53,26,0,4.94,clear sky
126,Boguchany,RU,58.3814,97.4531,29.12,97,100,2.86,light snow
127,Flinders,AU,-34.5833,150.8552,73.0,58,3,3.0,clear sky
128,Bundaberg,AU,-24.85,152.35,81.0,69,89,8.05,overcast clouds
129,Praxedis Guerrero,MX,31.3667,-106.0167,70.0,17,1,8.05,clear sky
130,Tasiilaq,GL,65.6145,-37.6368,19.4,49,20,9.22,few clouds
131,Hambantota,LK,6.1241,81.1185,76.41,79,87,4.21,overcast clouds
132,Nikolskoye,RU,59.7035,30.7861,39.2,87,0,2.24,light rain
133,Tashla,RU,51.7716,52.7427,28.44,92,100,9.1,light snow
134,Vila,PT,42.0304,-8.1588,52.0,59,5,3.0,clear sky
135,Arraial Do Cabo,BR,-22.9661,-42.0278,77.81,88,56,8.25,broken clouds
136,Longyearbyen,SJ,78.2186,15.6401,28.4,74,20,2.3,few clouds
137,Floro,NO,61.5996,5.0328,42.8,70,90,19.57,overcast clouds
