City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Bull Savanna,JM,75.04,few clouds,17.8868,-77.5902,Big Red's
261,Acarau,BR,77.43,clear sky,-2.8856,-40.12,castelo pizzaria
262,Barra Do Bugres,BR,75.97,scattered clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
265,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
266,Buala,SB,85.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
267,Hervey Bay,AU,78.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
269,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
270,Hobyo,SO,79.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
273,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,Kahului,US,77.0,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
279,Puerto Baquerizo Moreno,EC,77.86,few clouds,-0.9,-89.6,Hotel los Algarrobos
281,Ranong,TH,77.0,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
284,Hollister,US,79.0,clear sky,36.8525,-121.4016,Hollister Inn
289,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
290,Trinidad,BO,75.2,scattered clouds,-14.8333,-64.9,Hotel Piesta
296,Dicabisagan,PH,81.19,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
301,Byron Bay,AU,75.2,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
303,Sarangani,PH,80.78,overcast clouds,5.4033,125.4636,Ballistic Islet
315,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
318,Koumac,NC,84.11,scattered clouds,-20.5667,164.2833,Le Monitel
320,Honiara,SB,88.07,scattered clouds,-9.4333,159.95,Heritage Park Hotel
323,Pangai,TO,86.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
324,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
329,Kampot,KH,77.0,scattered clouds,10.6167,104.1833,Two Moons Hotel
331,Trairi,BR,76.37,clear sky,-3.2778,-39.2689,janelas do mar
336,Bato,PH,80.67,overcast clouds,13.3528,123.3677,Casa de Piedra
344,Kirakira,SB,86.63,moderate rain,-10.4544,161.9205,SanBiz Lodge
345,Barreiras,BR,79.39,broken clouds,-12.1528,-44.99,Príncipe Hotel
349,Guerrero Negro,MX,78.17,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
356,Kavaratti,IN,82.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
362,Bongaree,AU,81.0,clear sky,-27.0797,153.1586,The Gums Anchorage
363,Soyo,AO,80.78,overcast clouds,-6.1349,12.3689,Hotel Mpampa
365,Keningau,MY,80.6,few clouds,5.3378,116.1602,Sabindo Hotel
366,Kontagora,NG,82.65,clear sky,10.3999,5.4695,Queens Guest Inn
368,Ballina,AU,75.2,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
370,Beira,MZ,78.8,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
379,Tautira,PF,89.6,light rain,-17.7333,-149.15,Pension Oaoa
384,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
386,Mackay,AU,82.99,broken clouds,-21.15,149.2,International Lodge Motel
387,Sumbe,AO,76.93,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
395,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
396,Coxim,BR,79.07,clear sky,-18.5067,-54.76,Hotel Avenida
403,Kalianget,ID,81.63,light rain,-7.05,113.9333,Pesanggrahan Garam
408,New Smyrna Beach,US,80.6,clear sky,29.0258,-80.92699999999999,Hampton Inn New Smyrna Beach
409,Kununurra,AU,82.4,overcast clouds,-15.7667,128.7333,Hotel Kununurra
411,Tefe,BR,78.8,scattered clouds,-3.3542,-64.7114,Aracati Hotel
412,Pundaguitan,PH,81.09,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
414,Tanete,ID,75.65,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
418,Sao Jose Da Coroa Grande,BR,78.78,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
427,Port Keats,AU,81.68,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
428,Foso,GH,76.05,few clouds,5.7012,-1.2866,Pristina Cottage
431,San Pedro,PH,86.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
432,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
433,Ukiah,US,75.2,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
437,Manacapuru,BR,75.2,scattered clouds,-3.2997,-60.6206,Novo Hotel
438,Vao,NC,77.67,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
440,Benemerito De Las Americas,MX,82.6,clear sky,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
441,Farrukhnagar,IN,77.0,clear sky,17.0778,78.2011,Musthafa Five Star Kiranam
442,Sabang,ID,81.16,overcast clouds,5.8933,95.3214,Hotel Citra
444,Meridian,US,78.8,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
446,Nokha,IN,79.3,broken clouds,27.6,73.4167,Gurukarpa Hotel
450,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
453,Elk Grove,US,79.0,clear sky,38.4088,-121.3716,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
455,Atar,MR,76.03,broken clouds,20.5169,-13.0499,Oumou Elghoura
460,Poum,NC,80.69,clear sky,-20.2333,164.0167,Gîte kajeon
461,Winneba,GH,79.47,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
469,Pathein,MM,75.85,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
470,Samana,DO,78.8,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
471,Mayumba,GA,76.98,light rain,-3.432,10.6554,LIKWALE LODGE
477,Charters Towers,AU,80.56,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
478,Olutanga,PH,81.1,broken clouds,7.3106,122.8464,Morales Lodge
480,Mogadishu,SO,80.11,overcast clouds,2.0371,45.3438,Olympic Hotel
483,Beba,CU,78.8,scattered clouds,22.4437,-79.7253,Hostal Cubaustria
489,Pringsewu,ID,76.6,broken clouds,-5.3582,104.9744,Urban Style by Front One
490,Abakaliki,NG,82.4,haze,6.3163,8.1169,K Suites
492,San Ramon,US,79.0,clear sky,37.7799,-121.978,San Ramon Marriott
499,Albina,SR,75.15,light rain,5.5,-54.05,Hudace
502,Areia Branca,BR,78.58,clear sky,-4.9561,-37.1369,Areia Branca Apart Hotel
503,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
505,Panaba,MX,86.47,clear sky,21.2833,-88.2667,Posada rosario
508,Sechura,PE,77.02,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
513,Kingsland,US,79.0,overcast clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
517,Conceicao Do Araguaia,BR,75.92,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
518,Gombong,ID,78.04,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
523,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
525,Santo Antonio Do Leverger,BR,82.4,clear sky,-15.8656,-56.0767,Chácara Do SINETRAN
526,Manaure,CO,80.31,overcast clouds,11.7751,-72.4445,Hotel Palaaima
531,Machilipatnam,IN,77.0,mist,16.1667,81.1333,R&B Bungalow
535,Isabela,PH,86.0,light rain,6.7085,121.9711,Isawad Resort
538,Wang Saphung,TH,82.0,broken clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
539,Nathdwara,IN,77.83,few clouds,24.9333,73.8167,Hotel Sudarshan
547,Kloulklubed,PW,77.0,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
549,Daru,PG,81.12,overcast clouds,-9.0763,143.2092,Daru Lodge
550,Ipixuna,BR,77.0,clear sky,-1.7625,-48.8043,Casa da Oscarina
552,Rabaul,PG,82.13,overcast clouds,-4.1967,152.1721,Rabaul Hotel
553,Grand Baie,MU,75.99,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
