City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coihaique,CL,2021-03-28 20:04:25,-45.5752,-72.0662,66.2,52,40,6.91
68,La Ronge,CA,2021-03-28 20:04:25,55.1001,-105.2842,37.4,70,100,8.05
69,Harlingen,US,2021-03-28 20:00:13,26.1906,-97.6961,66.99,77,90,24.16
70,Puri,IN,2021-03-28 20:04:26,19.8,85.85,80.6,94,40,9.22
71,Avarua,CK,2021-03-28 20:04:26,-21.2078,-159.775,80.6,83,75,16.11
72,Pasni,PK,2021-03-28 20:04:26,25.2631,63.471,78.3,77,99,7.29
73,Zaysan,KZ,2021-03-28 20:04:27,47.4667,84.8667,37.72,85,98,6.4
74,Coquimbo,CL,2021-03-28 20:04:27,-29.9533,-71.3436,64.4,63,20,10.36
75,Pemba,MZ,2021-03-28 20:04:28,-12.974,40.5178,80.6,89,75,3.44
76,Isangel,VU,2021-03-28 20:04:28,-19.55,169.2667,78.21,83,5,5.55
77,Sivaki,RU,2021-03-28 20:04:28,52.6333,126.75,30.42,90,100,9.6
78,Koumac,NC,2021-03-28 20:04:29,-20.5667,164.2833,78.03,81,40,5.39
79,Lavrentiya,RU,2021-03-28 20:04:29,65.5833,-171.0,9.19,94,100,20.04
80,Pisco,PE,2021-03-28 20:04:30,-13.7,-76.2167,75.2,64,0,19.57
81,Alice Springs,AU,2021-03-28 20:04:30,-23.7,133.8833,64.4,77,3,3.44
82,Gidam,IN,2021-03-28 20:04:30,18.9833,81.4,73.2,19,0,2.91
83,Sechura,PE,2021-03-28 20:04:31,-5.5569,-80.8222,81.66,55,80,14.43
84,Thompson,CA,2021-03-28 20:04:31,55.7435,-97.8558,28.4,43,75,6.91
85,Kaitangata,NZ,2021-03-28 20:04:31,-46.2817,169.8464,53.13,95,66,3.0
86,Hermanus,ZA,2021-03-28 20:04:32,-34.4187,19.2345,68.0,70,100,1.99
87,Ribeira Grande,PT,2021-03-28 20:03:53,38.5167,-28.7,60.8,77,40,11.5
88,Geraldton,AU,2021-03-28 20:04:32,-28.7667,114.6,66.2,82,1,3.44
89,Ostuacan,MX,2021-03-28 20:04:33,17.4167,-93.3,87.35,51,0,6.17
90,Kruisfontein,ZA,2021-03-28 20:00:27,-34.0033,24.7314,64.0,73,100,5.01
91,Qaanaaq,GL,2021-03-28 20:04:33,77.484,-69.3632,-16.26,81,72,3.91
92,Yulara,AU,2021-03-28 20:00:25,-25.2406,130.9889,73.4,56,0,11.5
93,Praia Da Vitoria,PT,2021-03-28 20:04:34,38.7333,-27.0667,62.6,72,40,15.46
94,Komsomolskiy,UZ,2021-03-28 20:04:34,40.4272,71.7189,50.0,93,75,2.3
95,Dikson,RU,2021-03-28 20:04:35,73.5069,80.5464,-25.04,100,96,6.93
96,Bambous Virieux,MU,2021-03-28 20:04:35,-20.3428,57.7575,78.01,88,20,4.61
97,Along,IN,2021-03-28 20:04:35,28.1667,94.7667,60.51,36,2,1.79
98,Luderitz,NA,2021-03-28 20:04:36,-26.6481,15.1594,62.83,84,1,5.28
99,Kindu,CD,2021-03-28 20:04:36,-2.95,25.95,76.35,73,79,1.45
100,Maryborough,AU,2021-03-28 20:04:37,-25.5333,152.7,69.01,82,92,1.01
101,Victoria,HK,2021-03-28 20:01:07,22.2855,114.1577,75.99,88,10,5.03
102,Chuy,UY,2021-03-28 20:04:37,-33.6971,-53.4616,69.37,84,93,4.61
103,Bandarbeyla,SO,2021-03-28 20:03:46,9.4942,50.8122,78.62,73,9,6.35
104,Mirpur Sakro,PK,2021-03-28 20:04:38,24.5474,67.6277,78.8,73,7,9.22
105,Karaton,ID,2021-03-28 20:04:38,-6.3424,106.1045,82.0,89,40,5.75
106,Codrington,AU,2021-03-28 20:04:39,-38.2667,141.9667,58.37,76,100,7.18
107,Udachnyy,RU,2021-03-28 20:03:12,66.4167,112.4,11.39,96,100,4.92
108,Pevek,RU,2021-03-28 20:03:35,69.7008,170.3133,-21.19,100,66,1.68
109,Mahibadhoo,MV,2021-03-28 20:04:39,3.7833,72.9667,82.47,72,98,8.5
110,Arraial Do Cabo,BR,2021-03-28 20:04:40,-22.9661,-42.0278,86.0,78,0,9.22
111,Muroto,JP,2021-03-28 20:04:40,33.2833,134.15,62.82,80,41,5.82
112,Hambantota,LK,2021-03-28 20:04:40,6.1241,81.1185,77.11,76,100,1.66
113,Kutum,SD,2021-03-28 20:04:41,14.2,24.6667,67.12,12,5,16.08
114,Saldanha,ZA,2021-03-28 20:04:41,-33.0117,17.9442,68.0,49,100,5.75
115,Hay River,CA,2021-03-28 20:00:11,60.8156,-115.7999,15.8,73,100,16.11
116,Kununurra,AU,2021-03-28 20:04:42,-15.7667,128.7333,75.2,94,100,4.14
117,Meulaboh,ID,2021-03-28 20:04:42,4.1363,96.1285,77.27,86,96,2.37
118,Haines Junction,CA,2021-03-28 20:04:42,60.7522,-137.5108,23.0,36,9,9.22
119,Husavik,IS,2021-03-28 20:04:33,66.0449,-17.3389,33.8,47,20,8.05
120,Palmer,US,2021-03-28 20:04:43,42.1584,-72.3287,53.01,100,90,3.44
121,Akyab,MM,2021-03-28 20:04:43,20.15,92.9,78.69,75,81,6.26
122,Khatanga,RU,2021-03-28 20:04:43,71.9667,102.5,-2.78,98,100,6.69
123,Nagorsk,RU,2021-03-28 20:04:44,59.3172,50.8078,21.88,95,28,3.91
124,Upernavik,GL,2021-03-28 20:04:10,72.7868,-56.1549,-17.7,80,24,2.44
125,Dukat,RU,2021-03-28 20:04:44,62.55,155.55,-9.78,91,92,4.09
126,Fort Nelson,CA,2021-03-28 20:04:45,58.8053,-122.7002,10.4,85,90,19.57
127,Bisho,ZA,2021-03-28 20:04:45,-32.8472,27.4422,56.88,86,100,9.01
128,Olafsvik,IS,2021-03-28 20:04:45,64.8945,-23.7142,26.65,84,100,19.01
129,Saint-Pierre,RE,2021-03-28 20:03:49,-21.3393,55.4781,78.8,78,0,6.91
130,Port Elizabeth,ZA,2021-03-28 20:04:46,-33.918,25.5701,64.4,77,0,13.8
131,Kashirskoye,RU,2021-03-28 20:04:46,51.4194,39.6125,30.2,80,0,4.47
132,Carnarvon,AU,2021-03-28 20:04:47,-24.8667,113.6333,71.6,94,0,3.44
133,Fortuna,US,2021-03-28 20:01:29,40.5982,-124.1573,48.2,100,90,12.66
134,Karrapur,IN,2021-03-28 20:04:47,23.95,78.85,81.57,15,0,5.14
135,Popondetta,PG,2021-03-28 20:04:48,-8.7537,148.2534,72.19,91,97,3.18
136,Port Lincoln,AU,2021-03-28 20:04:48,-34.7333,135.8667,60.6,82,2,7.38
137,Sorong,ID,2021-03-28 20:04:48,-0.8833,131.25,78.55,87,100,7.49
138,San Patricio,US,2021-03-28 20:04:49,28.017,-97.5169,71.6,52,90,14.97
139,Srandakan,ID,2021-03-28 20:04:49,-7.9386,110.2506,76.64,88,47,2.82
140,Caldwell,US,2021-03-28 20:01:07,43.6629,-116.6874,72.0,27,1,9.22
141,Krasnoselkup,RU,2021-03-28 20:04:50,65.7,82.4667,-6.39,99,7,9.44
142,Russell,US,2021-03-28 20:04:50,32.3502,-85.1999,68.0,88,90,8.05
143,Los Llanos De Aridane,ES,2021-03-28 20:04:50,28.6585,-17.9182,66.2,72,20,8.05
144,Inhambane,MZ,2021-03-28 20:04:51,-23.865,35.3833,77.0,73,20,6.91
145,Airai,TL,2021-03-28 20:03:39,-8.9266,125.4092,60.28,95,100,2.35
146,Pontian Kecil,MY,2021-03-28 20:04:51,1.4801,103.3899,80.01,94,20,6.73
147,Atambua,ID,2021-03-28 20:04:52,-9.1061,124.8925,73.18,90,100,4.63
148,Havelock,US,2021-03-28 20:04:52,34.8791,-76.9013,73.99,76,100,15.01
149,Tiksi,RU,2021-03-28 20:04:52,71.6872,128.8694,1.63,99,100,1.72
150,Oranjestad,AW,2021-03-28 20:00:12,12.524,-70.027,84.2,65,40,26.46
